time,flow,temp,salt
1996-01-01,0.2390000000,0.1000000000,0.0750000000
1996-01-02,0.2130000000,0.6932291667,0.0750000000
1996-01-03,0.1730000000,0.6765625000,0.0750000000
1996-01-04,0.1240000000,0.1000000000,0.0750000000
1996-01-05,0.1240000000,0.1000000000,0.0750000000
1996-01-06,0.1240000000,0.1000000000,0.0750000000
1996-01-07,0.1240000000,0.5213541667,0.0750000000
1996-01-08,0.1470000000,2.2526041667,0.0750000000
1996-01-09,0.1240000000,4.4682291667,0.0750000000
1996-01-10,0.1470000000,4.7911458333,0.0750000000
1996-01-11,0.1470000000,5.6260416667,0.0750000000
1996-01-12,0.1240000000,6.2640625000,0.0750000000
1996-01-13,0.1240000000,5.6781250000,0.0750000000
1996-01-14,0.1240000000,5.0947916667,0.0750000000
1996-01-15,0.1080000000,3.3864583333,0.0750000000
1996-01-16,0.1080000000,1.5270833333,0.0750000000
1996-01-17,0.1080000000,0.5432291667,0.0750000000
1996-01-18,0.1080000000,0.1000000000,0.0750000000
1996-01-19,0.0990000000,0.1000000000,0.0750000000
1996-01-20,0.0970000000,0.1000000000,0.0750000000
1996-01-21,0.0970000000,0.1000000000,0.0750000000
1996-01-22,0.0970000000,0.1000000000,0.0750000000
1996-01-23,0.0970000000,0.1000000000,0.0750000000
1996-01-24,0.0970000000,0.1000000000,0.0750000000
1996-01-25,0.0890000000,0.1000000000,0.0750000000
1996-01-26,0.0790000000,0.1000000000,0.0750000000
1996-01-27,0.0970000000,0.1000000000,0.0750000000
1996-01-28,0.0890000000,0.1000000000,0.0750000000
1996-01-29,0.0890000000,0.1000000000,0.0750000000
1996-01-30,0.0790000000,0.1000000000,0.0750000000
1996-01-31,0.0890000000,0.1000000000,0.0750000000
1996-02-01,0.0890000000,0.1000000000,0.0750000000
1996-02-02,0.0790000000,0.1000000000,0.0750000000
1996-02-03,0.0790000000,0.1000000000,0.0750000000
1996-02-04,0.0790000000,0.1000000000,0.0750000000
1996-02-05,0.0790000000,0.1000000000,0.0750000000
1996-02-06,0.0790000000,0.1000000000,0.0750000000
1996-02-07,0.1080000000,0.1000000000,0.0750000000
1996-02-08,0.0790000000,0.1000000000,0.0750000000
1996-02-09,0.0870000000,0.1000000000,0.0750000000
1996-02-10,0.0670000000,0.3020833333,0.0750000000
1996-02-11,0.0670000000,2.1338541667,0.0750000000
1996-02-12,0.1840000000,2.7093750000,0.0750000000
1996-02-13,0.8570000000,2.4604166667,0.0750000000
1996-02-14,0.5140000000,1.3817708333,0.0750000000
1996-02-15,0.1810000000,1.3864583333,0.0750000000
1996-02-16,0.1270000000,2.2536458333,0.0750000000
1996-02-17,2.9020000000,2.9515625000,0.0750000000
1996-02-18,1.9340000000,3.6041666667,0.0750000000
1996-02-19,4.1130000000,2.5411458333,0.0750000000
1996-02-20,2.8100000000,0.2302083333,0.0750000000
1996-02-21,1.6420000000,0.1000000000,0.0750000000
1996-02-22,1.0240000000,0.1000000000,0.0750000000
1996-02-23,0.7170000000,0.1000000000,0.0750000000
1996-02-24,0.5470000000,0.1000000000,0.0750000000
1996-02-25,0.3660000000,3.1239583333,0.0750000000
1996-02-26,1.5720000000,5.3869791667,0.0750000000
1996-02-27,3.0720000000,6.5093750000,0.0750000000
1996-02-28,1.7760000000,4.9734375000,0.0750000000
1996-02-29,1.0780000000,3.0557291667,0.0750000000
1996-03-01,0.6560000000,1.3911458333,0.0750000000
1996-03-02,0.5070000000,0.4302083333,0.0750000000
1996-03-03,0.4050000000,0.1000000000,0.0750000000
1996-03-04,0.3040000000,0.4296875000,0.0750000000
1996-03-05,0.2340000000,1.2750000000,0.0750000000
1996-03-06,0.2070000000,1.8932291667,0.0750000000
1996-03-07,0.2070000000,3.0625000000,0.0750000000
1996-03-08,0.1790000000,3.1989583333,0.0750000000
1996-03-09,0.1510000000,3.2895833333,0.0750000000
1996-03-10,0.1510000000,1.8572916667,0.0750000000
1996-03-11,0.1280000000,0.1223958333,0.0750000000
1996-03-12,0.1270000000,0.1000000000,0.0750000000
1996-03-13,0.1240000000,0.1000000000,0.0750000000
1996-03-14,0.1240000000,0.4109375000,0.0750000000
1996-03-15,0.1240000000,2.7093750000,0.0750000000
1996-03-16,0.1080000000,4.6208333333,0.0750000000
1996-03-17,0.1080000000,5.7604166667,0.0750000000
1996-03-18,0.0970000000,6.1187500000,0.0750000000
1996-03-19,0.0970000000,6.8880208333,0.0750000000
1996-03-20,0.0970000000,7.6322916667,0.0750000000
1996-03-21,0.0970000000,8.0411458333,0.0750000000
1996-03-22,0.1080000000,8.6317708333,0.0750000000
1996-03-23,0.0960000000,8.7083333333,0.0750000000
1996-03-24,0.0970000000,8.7614583333,0.0750000000
1996-03-25,0.0970000000,8.3838541667,0.0750000000
1996-03-26,0.0890000000,6.5369791667,0.0750000000
1996-03-27,0.0890000000,4.7260416667,0.0750000000
1996-03-28,0.0890000000,3.1145833333,0.0750000000
1996-03-29,0.0890000000,1.8854166667,0.0750000000
1996-03-30,0.0970000000,1.5380208333,0.0750000000
1996-03-31,0.0970000000,1.2703125000,0.0750000000
1996-04-01,0.0980000000,0.7109375000,0.0750000000
1996-04-02,0.0970000000,0.9182291667,0.0750000000
1996-04-03,0.0980000000,1.9192708333,0.0750000000
1996-04-04,0.0970000000,3.4140625000,0.0750000000
1996-04-05,0.0890000000,5.9151041667,0.0750000000
1996-04-06,0.0970000000,8.2395833333,0.0750000000
1996-04-07,0.0970000000,8.7500000000,0.0750000000
1996-04-08,0.0970000000,9.4187500000,0.0750000000
1996-04-09,0.0890000000,9.7588541667,0.0750000000
1996-04-10,0.0890000000,9.1109375000,0.0750000000
1996-04-11,0.0890000000,8.7802083333,0.0750000000
1996-04-12,0.0960000000,7.6125000000,0.0750000000
1996-04-13,0.0890000000,6.2505208333,0.0750000000
1996-04-14,0.0890000000,5.9406250000,0.0750000000
1996-04-15,0.0890000000,7.5182291667,0.0750000000
1996-04-16,0.0790000000,9.7677083333,0.0750000000
1996-04-17,0.0790000000,11.6343750000,0.0750000000
1996-04-18,0.0790000000,13.2875000000,0.0750000000
1996-04-19,0.0790000000,15.0005208333,0.0750000000
1996-04-20,0.0790000000,16.4234375000,0.0750000000
1996-04-21,0.0790000000,18.1817708333,0.0750000000
1996-04-22,0.0710000000,19.0354166667,0.0750000000
1996-04-23,0.0670000000,17.3130208333,0.0750000000
1996-04-24,0.0670000000,15.0572916667,0.0750000000
1996-04-25,0.0790000000,12.7177083333,0.0750000000
1996-04-26,0.0670000000,11.9411458333,0.0750000000
1996-04-27,0.0660000000,11.9578125000,0.0750000000
1996-04-28,0.0660000000,11.6583333333,0.0750000000
1996-04-29,0.0660000000,11.3578125000,0.0750000000
1996-04-30,0.0660000000,10.9031250000,0.0750000000
1996-05-01,0.0660000000,10.7427083333,0.0750000000
1996-05-02,0.0660000000,11.1130208333,0.0750000000
1996-05-03,0.0880000000,10.3541666667,0.0750000000
1996-05-04,0.0880000000,8.7015625000,0.0750000000
1996-05-05,0.0960000000,8.0979166667,0.0750000000
1996-05-06,0.0880000000,7.8937500000,0.0750000000
1996-05-07,0.0880000000,8.3786458333,0.0750000000
1996-05-08,0.0880000000,9.0869791667,0.0750000000
1996-05-09,0.0880000000,8.8453125000,0.0750000000
1996-05-10,0.0880000000,8.5166666667,0.0750000000
1996-05-11,0.0880000000,8.6078125000,0.0750000000
1996-05-12,0.0780000000,8.6218750000,0.0750000000
1996-05-13,0.0780000000,9.4286458333,0.0750000000
1996-05-14,0.0780000000,9.6677083333,0.0750000000
1996-05-15,0.0880000000,9.8494791667,0.0750000000
1996-05-16,0.0880000000,11.4281250000,0.0750000000
1996-05-17,0.0880000000,12.3291666667,0.0750000000
1996-05-18,0.0960000000,13.0119791667,0.0750000000
1996-05-19,0.0880000000,13.4437500000,0.0750000000
1996-05-20,0.0880000000,12.2291666667,0.0750000000
1996-05-21,0.0880000000,11.5963541667,0.0750000000
1996-05-22,0.1070000000,11.7135416667,0.0750000000
1996-05-23,0.0960000000,13.2098958333,0.0750000000
1996-05-24,0.1070000000,14.0104166667,0.0750000000
1996-05-25,0.0960000000,14.2494791667,0.0750000000
1996-05-26,0.1720000000,14.0015625000,0.0750000000
1996-05-27,0.1720000000,12.1244791667,0.0750000000
1996-05-28,0.3930000000,12.7052083333,0.0750000000
1996-05-29,0.3070000000,14.7291666667,0.0750000000
1996-05-30,0.2800000000,16.9281250000,0.0750000000
1996-05-31,0.2280000000,17.6130208333,0.0750000000
1996-06-01,0.1870000000,16.5453125000,0.0750000000
