time,ShortWave,LongWave, AirTemp,RelHum, WindSpeed,Rain,Snow
1997-01-01,128.1119583,273.7329402,15.48908333,76.07847214,0.950309798,0,0
1997-01-02,137.3948333,274.3124331,15.566125,78.06388866,0.98904966,0,0
1997-01-03,138.7810833,274.1906567,15.54316667,72.53208335,0.849692368,0,0
1997-01-04,143.3056667,270.1339886,14.98770833,72.95652739,1.024337877,0,0
1997-01-05,131.042375,270.6384532,15.052125,65.47722244,1.233782303,0,0
1997-01-06,122.632875,276.90342,15.88720833,66.05472189,0.926079754,0,0
1997-01-07,61.91266667,288.3237828,17.445125,65.77152771,0.882346149,0,0
1997-01-08,127.6682083,281.5652242,16.54570833,68.70291646,1.399335497,0.0006,0
1997-01-09,121.9683333,282.1432876,16.64070833,73.50791624,1.580481758,0,0
1997-01-10,143.6562083,283.4888726,16.81479167,79.73597193,1.14678579,0,0
1997-01-11,143.682375,303.4398718,19.20908333,54.91625023,3.139956892,0,0
1997-01-12,146.58,317.4044176,21.04383333,43.3504165,4.67556755,0,0
1997-01-13,116.6043333,323.8893445,21.75858333,42.94638909,4.269327754,0.000504,0
1997-01-14,120.922125,301.9348178,19.17995833,65.1431943,1.861724715,0.002208,0
1997-01-15,64.77604167,272.8584023,15.39833333,78.26527802,2.045734543,0.027504,0
1997-01-16,59.21633333,258.5714853,13.37175,82.96166648,1.940999137,0.003192,0
1997-01-17,110.048625,256.2916134,13.0275,78.68930552,1.770231425,0,0
1997-01-18,154.7852917,257.0970151,13.06841667,72.80805567,1.410368633,0,0
1997-01-19,121.1672917,273.3457962,15.39570833,51.01513873,3.303396782,0,0
1997-01-20,150.1072083,277.6898437,16.018375,52.68458303,2.270073803,0,0
1997-01-21,154.774875,261.2521673,13.70891667,69.03291697,1.648042322,0.0012,0
1997-01-22,16.63041667,256.6898868,13.10025,92.91111141,1.503723778,0.017496,0
1997-01-23,131.5805,259.9788934,13.554,77.68458287,2.504092462,0.000096,0
1997-01-24,157.7516667,281.2236877,16.5035,55.22138882,4.751664221,0,0
1997-01-25,153.130375,264.1038276,14.10283333,75.29319456,2.236903814,0,0
1997-01-26,33.09341667,267.9656349,14.72554167,88.68055556,1.173407591,0.003288,0
1997-01-27,64.94625,258.7682516,13.39633333,69.61750009,2.389582321,0,0
1997-01-28,117.33625,261.773032,13.801375,54.79874961,5.319106717,0,0
1997-01-29,171.444,256.4704921,13.03504167,47.8969442,2.78046592,0,0
1997-01-30,52.663,243.8562139,11.13458333,89.75694476,1.282942979,0.008688,0
1997-01-31,137.7057083,248.5360617,11.83608333,62.80305534,3.008524734,0.000192,0
1997-02-01,179.3802083,234.8946039,9.616833333,64.1634718,1.527599654,0,0
1997-02-02,157.005625,239.2144332,10.32891667,75.09097221,1.269405973,0.022104,0
1997-02-03,25.11925,247.6580811,11.72945833,100,1.356448244,0.0198,0
1997-02-04,91.02429167,240.1361873,10.541125,78.88097249,3.442391082,0.014592,0
1997-02-05,95.04125,229.9117615,8.860166667,59.36847221,2.787170195,0,0
1997-02-06,184.927,235.2764869,9.646083333,56.74097231,2.252612657,0,0
1997-02-07,194.4829167,247.9585356,11.73225,40.55180584,4.134284346,0,0
1997-02-08,198.817625,244.7777818,11.17258333,46.22430542,1.493659072,0,0
1997-02-09,198.270875,243.0951326,10.908625,57.22194436,1.443602351,0,0
1997-02-10,176.3183333,245.6727796,11.35991667,63.97402763,1.334096197,0,0
1997-02-11,186.2654167,247.4105549,11.6075,69.9798611,1.237915179,0,0
1997-02-12,178.5202917,248.3057045,11.74266667,70.03388913,1.198588741,0,0
1997-02-13,179.2776667,257.034009,13.06595833,73.64166662,1.17373758,0,0
1997-02-14,164.3719583,259.143686,13.38195833,75.4424998,0.980360829,0,0
1997-02-15,191.714875,262.8582411,13.92345833,75.35583305,1.143111172,0,0
1997-02-16,200.2559167,279.9158413,16.15741667,62.70958344,1.002979075,0,0
1997-02-17,204.920625,299.5051907,18.76154167,40.73583333,2.383895013,0,0
1997-02-18,160.5809167,280.8564311,16.44395833,68.66194428,2.178286138,0,0
1997-02-19,188.5540417,273.9599013,15.50379167,81.144167,1.135244967,0,0
