time,flow,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_pon,OGM_don,OGM_pop,OGM_dop,OGM_poc,OGM_doc,PHY_phy03,PHY_phy07,PHY_phy08
1997-01-01,11.8162462384,15,0.33152,327.5,0,2.071428571,113.5714286,1.387096774,0,0,0,0,0,0,0,0,0
1997-01-02,11.169209081,14.5,0.318668,331.09375,0,2.142857143,123.5714286,1.612903226,0,0,0,0,0,0,0,0,0
1997-01-03,11.9305866319,14.5,0.3101,331.125,0,1.357142857,121.4285714,1.290322581,0,0,0,0,0,0,0,0,0
1997-01-04,11.1614184248,14,0.305204,334.78125,0,2.071428571,117.1428571,1.225806452,0,0,0,0,0,0,0,0,0
1997-01-05,11.0650951725,13,0.312548,342.28125,0,1.714285714,124.2857143,1.290322581,0,0,0,0,0,0,0,0,0
1997-01-06,10.9690278148,13.5,0.32846,338.46875,0,2.5,127.8571429,1.516129032,0,0,0,0,0,0,0,0,0
1997-01-07,10.7801132894,13.5,0.330296,338.46875,0,3.071428571,131.4285714,1.516129032,0,0,0,0,0,0,0,0,0
1997-01-08,10.9769599491,14,0.324176,334.75,0,2.142857143,126.4285714,1.419354839,0,0,0,0,0,0,0,0,0
1997-01-09,10.8444595984,14,0.31316,334.78125,0,1.285714286,128.5714286,1.677419355,0,0,0,0,0,0,0,0,0
1997-01-10,11.0103997708,14,0.316832,334.75,0,1.571428571,120.7142857,1.483870968,0,0,0,0,0,0,0,0,0
1997-01-11,10.9164726019,14,0.315608,334.75,0,1.428571429,122.8571429,1.516129032,0,0,0,0,0,0,0,0,0
1997-01-12,10.8735939109,14,0.310712,334.78125,0,3.857142857,125,1.322580645,0,0,0,0,0,0,0,0,0
1997-01-13,10.3898122072,14.5,0.319892,331.09375,0,1.214285714,125.7142857,1.290322581,0,0,0,0,0,0,0,0,0
1997-01-14,10.4037107512,14.5,0.319892,331.09375,0,1.428571429,136.4285714,1.741935484,0,0,0,0,0,0,0,0,0
1997-01-15,11.0855262824,15,0.315608,327.53125,0,1.071428571,125,1.709677419,0,0,0,0,0,0,0,0,0
1997-01-16,12.2462883449,15,0.321116,327.53125,0,2.714285714,132.1428571,2.774193548,0,0,0,0,0,0,0,0,0
1997-01-17,11.7129625926,15,0.327236,327.5,0,1.142857143,137.1428571,4.258064516,0,0,0,0,0,0,0,0,0
1997-01-18,11.1494046597,15,0.324788,327.5,0,1.142857143,135,3.225806452,0,0,0,0,0,0,0,0,0
1997-01-19,10.8943460382,14,0.324176,334.75,0,0.5,125.7142857,2.677419355,0,0,0,0,0,0,0,0,0
1997-01-20,10.4110956968,14,0.333968,334.71875,0,0.5,122.1428571,1.548387097,0,0,0,0,0,0,0,0,0
1997-01-21,10.8481761146,14,0.337028,334.71875,0,0.857142857,137.8571429,4.548387097,0,0,0,0,0,0,0,0,0
1997-01-22,11.092909537,14,0.341312,334.71875,0,1.857142857,133.5714286,1.903225806,0,0,0,0,0,0,0,0,0
1997-01-23,12.304955544,14,0.349268,334.6875,0,3.142857143,148.5714286,2.290322581,0,0,0,0,0,0,0,0,0
1997-01-24,12.0113146759,14,0.348044,334.6875,0,2.571428571,135,1.967741935,0,0,0,0,0,0,0,0,0
1997-01-25,11.4191823067,14,0.348656,334.6875,0,1.214285714,136.4285714,3.838709677,0,0,0,0,0,0,0,0,0
1997-01-26,11.5562702789,14,0.344372,334.71875,0,0.5,141.4285714,4.741935484,0,0,0,0,0,0,0,0,0
1997-01-27,11.6062817708,14,0.339476,334.71875,0,2,127.1428571,2.064516129,0,0,0,0,0,0,0,0,0
1997-01-28,12.1134322917,14,0.34376,334.71875,0,1.428571429,136.4285714,3.612903226,0,0,0,0,0,0,0,0,0
1997-01-29,11.9377843056,14.5,0.341924,331.0625,0,1.571428571,120.7142857,1.35483871,0,0,0,0,0,0,0,0,0
1997-01-30,12.1346681829,14,0.33458,334.71875,0,0.357142857,127.1428571,3.161290323,0,0,0,0,0,0,0,0,0
1997-01-31,12.6654035648,14,0.339476,334.71875,0,0.785714286,129.2857143,1.387096774,0,0,0,0,0,0,0,0,0
1997-02-01,11.9982942245,13,0.343148,342.21875,0,6.357142857,134.2857143,2.516129032,0,0,0,0,0,0,0,0,0
1997-02-02,11.7941572801,11,0.340088,358.1875,0,4.357142857,127.1428571,2.387096774,0,0,0,0,0,0,0,0,0
1997-02-03,19.0606369329,12.25,0.322952,348.09375,0,3.642857143,139.2857143,2.161290323,0,0,0,0,0,0,0,0,0
1997-02-04,25.2027809954,12.25,0.307652,348.125,0,5.714285714,155.7142857,3.709677419,0,0,0,0,0,0,0,0,0
1997-02-05,20.7535876505,13.25,0.34988,340.3125,0,7.785714286,180.7142857,2.64516129,0,0,0,0,0,0,0,0,0
1997-02-06,16.0410395718,12.5,0.370688,346.03125,0,0.142857143,147.8571429,1.935483871,0,0,0,0,0,0,0,0,0
1997-02-07,14.0488129745,12.5,0.360896,346.0625,0,0.142857143,139.2857143,1.290322581,0,0,0,0,0,0,0,0,0
1997-02-08,13.1083731019,12,0.355388,350,0,1.857142857,140,1.806451613,0,0,0,0,0,0,0,0,0
1997-02-09,12.9936135185,11,0.355388,358.15625,0,1.714285714,150.7142857,1.612903226,0,0,0,0,0,0,0,0,0
1997-02-10,12.8756318287,12,0.341312,350.03125,0,1.928571429,135.7142857,1.258064516,0,0,0,0,0,0,0,0,0
1997-02-11,12.0311284144,12,0.341312,350.03125,0,1.714285714,142.8571429,1.967741935,0,0,0,0,0,0,0,0,0
1997-02-12,11.4055017338,13,0.336416,342.25,0,0.714285714,142.8571429,1.35483871,0,0,0,0,0,0,0,0,0
1997-02-13,12.0468295023,13,0.324788,342.25,0,0.285714286,130,1.064516129,0,0,0,0,0,0,0,0,0
1997-02-14,12.1476588773,13,0.321116,342.28125,0,0.142857143,122.1428571,0.64516129,0,0,0,0,0,0,0,0,0
1997-02-15,11.5379442095,13,0.311936,342.28125,0,0.071428571,120.7142857,0.677419355,0,0,0,0,0,0,0,0,0
1997-02-16,11.9173214352,13,0.314384,342.28125,0,0.071428571,127.1428571,0.548387097,0,0,0,0,0,0,0,0,0
1997-02-17,11.8543247917,13.5,0.316832,338.46875,0,0.071428571,121.4285714,1.258064516,0,0,0,0,0,0,0,0,0
1997-02-18,12.0612359722,13.5,0.316832,338.46875,0,0.071428571,127.8571429,1.741935484,0,0,0,0,0,0,0,0,0
1997-02-19,12.190655787,14.5,0.311936,331.125,0,0.642857143,121.4285714,1.35483871,0,0,0,0,0,0,0,0,0
1997-02-20,12.4138105556,15,0.339476,327.5,0,3.214285714,135,2.258064516,0,0,0,0,0,0,0,0,0
1997-02-21,12.4250491204,15,0.327848,327.5,0,2.357142857,135.7142857,2.709677419,0,0,0,0,0,0,0,0,0
1997-02-22,60.656619294,15,0.324023,327.53125,0,3.714285714,202.6428571,2.806451613,0,0,0,0,0,0,0,0,0
1997-02-23,80.5966737153,11,0.32642,358.21875,0,5.071428571,269.5,2.903225806,0,0,0,0,0,0,0,0,0
1997-02-24,57.9604763194,12.5,0.387824,346,0,6.428571429,336.4285714,3,0,0,0,0,0,0,0,0,0
1997-02-25,35.5340385764,12.66666667,0.45086,344.5625,0,6,441.4285714,2.612903226,0,0,0,0,0,0,0,0,0
1997-02-26,27.5900688773,13.33333333,0.459428,339.4375,0,6,431.4285714,2.483870968,0,0,0,0,0,0,0,0,0
1997-02-27,23.6680972917,13.66666667,0.450248,336.96875,0,1.214285714,391.4285714,2.419354839,0,0,0,0,0,0,0,0,0
1997-02-28,22.1228590625,14,0.44168,334.5,0,0.5,336.4285714,2.709677419,0,0,0,0,0,0,0,0,0
1997-03-01,20.8102903588,15,0.427604,327.3125,0,1.5,331.4285714,2.516129032,0,0,0,0,0,0,0,0,0
1997-03-02,20.2606314352,16,0.416588,320.375,0,1.642857143,302.8571429,2.967741935,0,0,0,0,0,0,0,0,0
1997-03-03,20.1001630324,15,0.415976,327.34375,0,3.142857143,284.2857143,2.193548387,0,0,0,0,0,0,0,0,0
1997-03-04,21.0931055556,15,0.3866,327.40625,0,2.714285714,260,2.161290323,0,0,0,0,0,0,0,0,0
1997-03-05,20.6310185764,14,0.397616,334.59375,0,2.785714286,260,2,0,0,0,0,0,0,0,0,0
1997-03-06,20.1727782755,14,0.393944,334.59375,0,1.714285714,247.1428571,2.451612903,0,0,0,0,0,0,0,0,0
1997-03-07,20.2779964005,14,0.38354,334.625,0,1.285714286,218.5714286,1.774193548,0,0,0,0,0,0,0,0,0
1997-03-08,19.6888203009,14,0.384152,334.625,0,2.142857143,217.1428571,1.580645161,0,0,0,0,0,0,0,0,0
1997-03-09,18.9287063657,14,0.376808,334.625,0,2.071428571,215.7142857,1.677419355,0,0,0,0,0,0,0,0,0
1997-03-10,18.4541927431,14.5,0.37742,331,0,2.5,187.8571429,1.483870968,0,0,0,0,0,0,0,0,0
1997-03-11,18.2131242361,14.5,0.373748,331,0,2.857142857,180,1.322580645,0,0,0,0,0,0,0,0,0
1997-03-12,17.5312687153,14.5,0.369464,331,0,2.428571429,172.1428571,1.290322581,0,0,0,0,0,0,0,0,0
1997-03-13,17.1418366782,15,0.364568,327.4375,0,3.5,185,1.35483871,0,0,0,0,0,0,0,0,0
1997-03-14,17.6645390162,15,0.356612,327.4375,0,1.714285714,182.8571429,1.64516129,0,0,0,0,0,0,0,0,0
1997-03-15,18.1584807407,16,0.370688,320.46875,0,5.857142857,181.4285714,1.774193548,0,0,0,0,0,0,0,0,0
1997-03-16,20.6212072222,15,0.36212,327.4375,0,5.214285714,184.2857143,2.516129032,0,0,0,0,0,0,0,0,0
1997-03-17,27.5486713889,14.5,0.353552,331.03125,0,6.071428571,178.5714286,3.612903226,0,0,0,0,0,0,0,0,0
1997-03-18,43.1540229745,14.5,0.32846,331.09375,0,2.785714286,160,2.870967742,0,0,0,0,0,0,0,0,0
1997-03-19,63.9120726736,13.5,0.314996,338.5,0,11.64285714,152.8571429,3.322580645,0,0,0,0,0,0,0,0,0
1997-03-20,44.2411658796,13,0.37742,342.15625,0,3.357142857,265,2.451612903,0,0,0,0,0,0,0,0,0
1997-03-21,33.7277752431,13,0.399452,342.09375,0,1.142857143,304.2857143,2.225806452,0,0,0,0,0,0,0,0,0
1997-03-22,30.9720681597,13,0.400676,342.09375,0,1.285714286,305,2.258064516,0,0,0,0,0,0,0,0,0
1997-03-23,31.2875478472,15,0.370076,327.4375,0,2.071428571,246.4285714,1.903225806,0,0,0,0,0,0,0,0,0
1997-03-24,29.3798501157,14.5,0.400676,330.9375,0,4.5,261.4285714,2.032258065,0,0,0,0,0,0,0,0,0
1997-03-25,30.1134378125,14.5,0.370688,331,0,4.357142857,213.5714286,1.935483871,0,0,0,0,0,0,0,0,0
1997-03-26,27.0814872338,14,0.370076,334.65625,0,2.5,219.2857143,1.548387097,0,0,0,0,0,0,0,0,0
